Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Fisnik Asllani,xk KVX,FW,Hoffenheim,20-254,2002,1.9,0,0,0,0,0,1.58,1.58,1.58,0
Gil Bastião Dias,pt POR,FW,Stuttgart,26-203,1996,4.4,1.82,1.36,0.68,0.91,0.23,0.45,2.27,0.68,0
Ihlas Bebou,tg TOG,FW,Hoffenheim,28-361,1994,9.9,0.91,0.91,0.1,0.51,0.3,0.51,1.41,0.51,0
Sheraldo Becker,sr SUR,FW,Union Berlin,28-069,1995,22.6,0.53,0.18,0.04,0.27,0.22,0.09,0.62,0.22,0.04
Kevin Behrens,de GER,FW,Union Berlin,32-075,1991,13,0.85,0.54,0.31,0.31,0.23,0.31,1.15,1.62,0
Karim Bellarabi,de GER,FW,Leverkusen,33-011,1990,0.9,2.22,0,1.11,1.11,0,0,2.22,0,0
Mergim Berisha,de GER,FW,Augsburg,24-343,1998,17.5,0.63,0.34,0.23,0.17,0.23,0,0.63,1.09,0
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,24-212,1998,3.3,0.91,0.61,0,0,0.91,0.3,1.21,0,0
Darko Churlinov,mk MKD,FW,Stuttgart,22-282,2000,0.3,10,6.67,6.67,3.33,0,0,10,0,0
Tanguy Coulibaly,fr FRA,FW,Stuttgart,22-060,2001,2.7,4.44,3.33,3.33,0.37,0.74,1.11,5.56,0,0
Moanes Dabbur,il ISR,FW,Hoffenheim,30-340,1992,7.3,1.1,0.68,0.27,0.68,0.14,0.41,1.51,0,0
Florian Dietz,de GER,FW,Köln,24-259,1998,4.4,0.45,0.23,0,0.45,0,0,0.45,0.45,0
Dion Drena Beljo,hr CRO,FW,Augsburg,21-049,2002,7.9,0.76,0.63,0.25,0.25,0.25,0.13,0.89,0.76,0
Marvin Ducksch,de GER,FW,Werder Bremen,29-043,1994,26,0.27,0.12,0.04,0.15,0.08,0.23,0.5,1.38,0.04
Michael Frey,ch SUI,FW,Schalke 04,28-274,1994,8.3,1.33,0.6,0.24,0.72,0.36,0.12,1.45,0.12,0
Niclas Füllkrug,de GER,FW,Werder Bremen,30-069,1993,25.5,0.35,0.16,0,0.24,0.12,0.04,0.39,0.94,0
