Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Fisnik Asllani,xk KVX,FW,Hoffenheim,20-254,2002,1.9,0,0.2,0.1,-0.2,3,1,0,0,1
Gil Bastião Dias,pt POR,FW,Stuttgart,26-203,1996,4.4,0,0.7,0.5,-0.7,8,7,7,1,14
Ihlas Bebou,tg TOG,FW,Hoffenheim,28-361,1994,9.9,0,0.5,0.8,-0.5,9,9,3,0,14
Sheraldo Becker,sr SUR,FW,Union Berlin,28-069,1995,22.6,5,4.2,4.7,+0.8,33,13,35,25,30
Kevin Behrens,de GER,FW,Union Berlin,32-075,1991,13,1,1,1.2,0,18,23,18,1,47
Karim Bellarabi,de GER,FW,Leverkusen,33-011,1990,0.9,0,0,0,0,0,4,0,0,3
Mergim Berisha,de GER,FW,Augsburg,24-343,1998,17.5,4,2.7,2.8,+1.3,20,19,9,3,26
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,24-212,1998,3.3,0,0.3,0.4,-0.3,5,5,2,0,4
Darko Churlinov,mk MKD,FW,Stuttgart,22-282,2000,0.3,0,0,0,0,0,0,0,0,0
Tanguy Coulibaly,fr FRA,FW,Stuttgart,22-060,2001,2.7,0,0.4,0.5,-0.4,4,6,3,1,10
Moanes Dabbur,il ISR,FW,Hoffenheim,30-340,1992,7.3,1,0.9,1.1,+0.1,11,14,7,0,29
Florian Dietz,de GER,FW,Köln,24-259,1998,4.4,0,0.3,0.5,-0.3,4,4,0,0,5
Dion Drena Beljo,hr CRO,FW,Augsburg,21-049,2002,7.9,0,0.8,0.8,-0.8,8,9,4,1,14
Marvin Ducksch,de GER,FW,Werder Bremen,29-043,1994,26,5,4.1,5.2,+0.9,45,32,18,6,47
Michael Frey,ch SUI,FW,Schalke 04,28-274,1994,8.3,3,1.8,1.2,+1.2,9,14,4,1,20
Niclas Füllkrug,de GER,FW,Werder Bremen,30-069,1993,25.5,5,3.1,3.3,+1.9,32,46,26,1,88
Michael Gregoritsch,at AUT,FW,Freiburg,29-001,1994,20.8,4,3,2.6,+1.0,23,28,16,1,54
Sehrou Guirassy,gn GUI,FW,Stuttgart,27-038,1996,12.7,0,1,0.6,-1,12,12,4,0,21
Sébastien Haller,ci CIV,FW,Dortmund,28-301,1994,8.4,1,1.4,1.2,-0.4,8,6,3,0,9
Philipp Hofmann,de GER,FW,Bochum,30-020,1993,24.1,1,2.4,2.8,-1.4,22,29,12,0,55
Gerrit Holtmann,ph PHI,FW,Bochum,28-025,1995,9.8,1,0.8,0.8,+0.2,10,4,8,4,8
Sasa Kalajdzic,at AUT,FW,Stuttgart,25-286,1997,2.6,3,0.6,0.3,+2.4,6,3,0,0,4
Wilfried Kanga,ci CIV,FW,Hertha BSC,25-057,1998,15.3,0,1.5,1.3,-1.5,20,8,5,2,12
Kenan Karaman,tr TUR,FW,Schalke 04,29-045,1994,6,1,1,0.7,0,3,5,5,1,11
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,24-135,1998,24.8,10,5.2,4.4,+4.8,31,20,20,2,49
Alou Kuol,au AUS,FW,Stuttgart,22-204,2000,0.1,0,0,0,0,0,0,0,0,0
Jamie Leweling,de GER,FW,Union Berlin,22-052,2001,2.4,1,0.2,0.2,+0.8,2,1,1,1,3
Donyell Malen,nl NED,FW,Dortmund,24-090,1999,13.9,4,3,3.2,+1.0,23,30,18,7,38
Omar Marmoush,eg EGY,FW,Wolfsburg,24-071,1999,15.3,1,1,1.3,0,10,26,14,1,49
Eric Maxim Choupo-Moting,cm CMR,FW,Bayern Munich,34-027,1989,12.1,2,1.8,2.1,+0.2,15,22,12,1,42
Keke Maximilian Topp,de GER,FW,Schalke 04,19-025,2004,0.2,0,0,0.2,0,0,0,1,1,0
Sven Michel,de GER,FW,Union Berlin,32-278,1990,4.8,0,0.8,0.2,-0.8,6,8,4,2,12
Anthony Modeste,fr FRA,FW,Dortmund,35-005,1988,8.9,1,1.1,0.4,-0.1,7,5,4,1,7
Youssoufa Moukoko,de GER,FW,Dortmund,18-150,2004,11.4,3,1,0.7,+2.0,9,6,6,0,11
Nathan N'Goumou,fr FRA,FW,M'Gladbach,23-036,2000,4.7,0,0.2,0.4,-0.2,2,1,5,4,9
Florian Niederlechner,de GER,FW,Hertha BSC,32-177,1990,5.7,0,0.1,0.3,-0.1,2,7,1,0,7
Justin Njinmah,de GER,FW,Dortmund,22-155,2000,0.2,0,0,0,0,0,0,0,0,0
Lukas Nmecha,de GER,FW,Wolfsburg,24-126,1998,10,0,0.5,0.4,-0.5,6,17,5,0,18
Paulinho,br BRA,FW,Leverkusen,22-278,2000,0.9,0,0,0,0,0,1,0,0,4
