Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19-090,2004,4.6,1.52,0.87,1.09,0.43,0,0.43,1.96,0.43,0
Carlos Álvarez,es ESP,FW,Sevilla,19-256,2003,0.1,,10,,,,0,,,
Sergio Arribas,es ESP,FW,Real Madrid,21-201,2001,0.1,0,0,0,0,0,0,0,0,0
Ricard Artero,es ESP,FW,Girona,20-073,2003,0.1,0,0,0,0,0,0,0,0,0
Iago Aspas,es ESP,FW,Celta Vigo,35-261,1987,27.4,0.22,0.07,0,0.11,0.11,0.22,0.44,0.69,0
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33-305,1989,0.1,0,0,0,0,0,0,0,0,0
Bebé,cv CPV,FW,Rayo Vallecano,32-281,1990,0.7,0,0,0,0,0,0,0,0,0
Iker Benito,es ESP,FW,Osasuna,20-252,2002,0.1,10,10,0,0,10,0,10,0,0
Karim Benzema,fr FRA,FW,Real Madrid,35-121,1987,17.8,0.45,0.28,0.11,0.17,0.17,0.06,0.51,0.28,0
Álex Berenguer,es ESP,FW,Athletic Club,27-289,1995,19.7,2.18,1.42,0.61,0.86,0.71,0.41,2.59,0.3,0
El Bilal Touré,ml MLI,FW,Almería,21-198,2001,13,0.31,0.23,0.15,0.08,0.08,0.08,0.38,1.69,0
Lucas Boyé,ar ARG,FW,Elche,27-050,1996,20.6,1.31,0.68,0.34,0.63,0.34,0.58,1.89,1.55,0
Ante Budimir,hr CRO,FW,Osasuna,31-271,1991,14.6,0.82,0.34,0,0.55,0.27,0.21,1.03,0.89,0
Sergio Camello,es ESP,FW,Rayo Vallecano,22-068,2001,22.5,0.62,0.36,0.13,0.36,0.13,0.09,0.71,1.02,0
Valentín Castellanos,ar ARG,FW,Girona,24-198,1998,23.7,0.46,0.17,0.04,0.3,0.13,0.21,0.68,0.84,0
Edinson Cavani,uy URU,FW,Valencia,36-064,1987,12.4,0.32,0.08,0.16,0.08,0.08,0.08,0.4,0.56,0
Diego Collado,es ESP,FW,Villarreal,22-100,2001,0.1,0,0,0,0,0,0,0,0,0
Jesús Corona,mx MEX,FW,Sevilla,30-103,1993,0.7,1.43,0,1.43,0,0,0,1.43,0,0
Juan Cruz,es ESP,FW,Betis,22-359,2000,1.9,0.53,0,0,0.53,0,0,0.53,0,0
Arnaut Danjuma,nl NED,FW,Villarreal,26-078,1997,5.3,0.57,0.57,0.19,0,0.38,0,0.57,0.19,0.19
Ousmane Dembélé,fr FRA,FW,Barcelona,25-339,1997,12.2,1.39,0.9,0.33,0.57,0.49,0,1.39,0.16,0
Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,21-189,2001,0.1,0,0,0,0,0,0,0,0,0
Kasper Dolberg,dk DEN,FW,Sevilla,25-195,1997,2.2,0.45,0,0,0.45,0,0,0.45,2.27,0
Hugo Duro,es ESP,FW,Valencia,23-160,1999,12.3,0.98,0.73,0.08,0.49,0.41,0.16,1.14,0.57,0.08
Adri Embarba,es ESP,FW,Espanyol,30-347,1992,0.4,2.5,0,0,2.5,0,0,2.5,0,0
Youssef En-Nesyri,ma MAR,FW,Sevilla,25-322,1997,14.5,0.97,0.55,0.21,0.48,0.28,0.21,1.17,0.83,0
Ansu Fati,es ESP,FW,Barcelona,20-170,2002,12.3,1.06,0.65,0.49,0.24,0.33,0.24,1.3,0.41,0
Carlos Fernández,es ESP,FW,Real Sociedad,26-332,1996,4.5,0.89,0.67,0.22,0.44,0.22,0.22,1.11,0.44,0
Aleix Garrido,es ESP,FW,Barcelona,19-056,2004,0.1,20,10,10,0,10,0,20,0,0
Sékou Gassama,sn SEN,FW,Valladolid,27-348,1995,0.4,0,0,0,0,0,0,0,0,0
Álvaro Giménez,es ESP,FW,Cádiz,31-335,1991,0.2,0,0,0,0,0,0,0,0,0
Maxi Gómez,uy URU,FW,Valencia,26-248,1996,1.2,0,0,0,0,0,0,0,1.67,0
Sergi Guardiola,es ESP,FW,Valladolid,31-325,1991,5.6,2.14,1.25,1.07,0.89,0.18,0.36,2.5,1.25,0
Sergi Guardiola,es ESP,FW,Cádiz,31-325,1991,6.9,0.72,0.58,0,0.43,0.29,0.14,0.87,0.58,0
Javier Guerra,es ESP,FW,Valencia,20-108,2003,0.1,0,0,0,0,0,0,0,0,0
Gorka Guruzeta,es ESP,FW,Athletic Club,26-219,1996,10.7,1.68,1.31,0.47,0.75,0.47,0.37,2.06,0.37,0
Eden Hazard,be BEL,FW,Real Madrid,32-102,1991,1.5,0,0,0,0,0,0,0,0,0
Luiz Henrique,br BRA,FW,Betis,22-107,2001,17,2.35,1.71,1.24,0.76,0.35,0.76,3.12,0.76,0
Borja Iglesias,es ESP,FW,Betis,30-092,1993,21.7,0.37,0.18,0.14,0.14,0.09,0.05,0.41,0.69,0
Alexander Isak,se SWE,FW,Real Sociedad,23-210,1999,1.7,0.59,0.59,0,0,0.59,0,0.59,1.18,0
Nicolas Jackson,sn SEN,FW,Villarreal,21-303,2001,9.5,0.84,0.74,0.21,0.53,0.11,0.21,1.05,0.32,0
Adnan Januzaj,be BEL,FW,Sevilla,28-073,1995,0.5,0,0,0,0,0,2,2,0,0
Luis Javier Suárez,co COL,FW,Almería,25-138,1997,11.2,1.34,0.8,0.36,0.54,0.45,0.09,1.43,0.36,0
Willian José,br BRA,FW,Betis,31-147,1991,4.5,1.11,0.67,0.89,0.22,0,0,1.11,2,0
Joselu,es ESP,FW,Espanyol,33-023,1990,25.2,0.24,0.16,0.04,0.04,0.16,0.24,0.48,1.39,0
Juanmi,es ESP,FW,Betis,29-334,1993,8.6,1.4,0.93,0.47,0.7,0.23,0.35,1.74,0.35,0
Vinicius Júnior,br BRA,FW,Real Madrid,22-281,2000,26.3,1.06,0.76,0.38,0.42,0.27,0.23,1.29,0.04,0
Jon Karrikaburu,es ESP,FW,Real Sociedad,20-212,2002,1,1,0,0,1,0,0,1,0,0
Kike,es ESP,FW,Osasuna,33-145,1989,9.7,0.52,0.31,0,0.31,0.21,0.1,0.62,1.03,0
