Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19-090,2004,4.6,0.43,0.33,0.26,0.11,1.3,0.65,1.3,0.87,0.87
Carlos Álvarez,es ESP,FW,Sevilla,19-256,2003,0.1,0,,,,,,,,
Sergio Arribas,es ESP,FW,Real Madrid,21-201,2001,0.1,0,0,0,0,10,10,10,0,20
Ricard Artero,es ESP,FW,Girona,20-073,2003,0.1,0,0,0,0,0,0,0,0,0
Iago Aspas,es ESP,FW,Celta Vigo,35-261,1987,27.4,0.11,0.18,0.17,-0.07,2.52,2.59,1.35,0.07,4.82
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33-305,1989,0.1,0,0,0,0,0,0,0,0,0
Bebé,cv CPV,FW,Rayo Vallecano,32-281,1990,0.7,0,0.14,0.14,-0.14,2.86,2.86,1.43,1.43,1.43
Iker Benito,es ESP,FW,Osasuna,20-252,2002,0.1,0,1,2,-1,10,0,0,0,10
Karim Benzema,fr FRA,FW,Real Madrid,35-121,1987,17.8,0.17,0.28,0.23,-0.11,2.42,2.98,2.08,0,6.01
Álex Berenguer,es ESP,FW,Athletic Club,27-289,1995,19.7,0.05,0.17,0.18,-0.12,1.83,1.07,1.47,0.46,3.2
El Bilal Touré,ml MLI,FW,Almería,21-198,2001,13,0.15,0.1,0.05,0.05,1.08,0.54,0.23,0.08,1
Lucas Boyé,ar ARG,FW,Elche,27-050,1996,20.6,0.1,0.1,0.06,0,1.17,1.31,0.92,0.24,2.43
Ante Budimir,hr CRO,FW,Osasuna,31-271,1991,14.6,0,0.04,0.03,-0.04,0.55,0.48,0.21,0,1.1
Sergio Camello,es ESP,FW,Rayo Vallecano,22-068,2001,22.5,0.18,0.1,0.07,0.08,1.07,0.53,0.44,0,1.42
Valentín Castellanos,ar ARG,FW,Girona,24-198,1998,23.7,0,0.04,0.06,-0.04,0.46,0.68,0.55,0.04,1.27
Edinson Cavani,uy URU,FW,Valencia,36-064,1987,12.4,0.08,0.1,0.06,-0.02,0.89,0.81,0.16,0,0.97
Diego Collado,es ESP,FW,Villarreal,22-100,2001,0.1,0,0,0,0,0,0,0,0,10
Jesús Corona,mx MEX,FW,Sevilla,30-103,1993,0.7,0,0.29,0.14,-0.29,1.43,0,0,0,1.43
Juan Cruz,es ESP,FW,Betis,22-359,2000,1.9,0,0.05,0.05,-0.05,1.05,0,0,0,0.53
Arnaut Danjuma,nl NED,FW,Villarreal,26-078,1997,5.3,0,0.08,0.06,-0.08,0.94,0.57,0.57,0.38,0.38
Ousmane Dembélé,fr FRA,FW,Barcelona,25-339,1997,12.2,0.41,0.3,0.31,0.11,2.79,1.56,2.38,0.33,4.75
Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,21-189,2001,0.1,0,0,0,0,0,0,0,0,10
Kasper Dolberg,dk DEN,FW,Sevilla,25-195,1997,2.2,0.45,0.18,0,0.27,0.45,0.45,0,0,0.91
Hugo Duro,es ESP,FW,Valencia,23-160,1999,12.3,0,0.07,0.03,-0.07,0.57,0.81,0.08,0,1.22
Adri Embarba,es ESP,FW,Espanyol,30-347,1992,0.4,0,0,0.25,0,0,0,0,0,0
Youssef En-Nesyri,ma MAR,FW,Sevilla,25-322,1997,14.5,0,0.03,0.03,-0.03,0.41,0.21,0,0,0.62
Ansu Fati,es ESP,FW,Barcelona,20-170,2002,12.3,0.24,0.1,0.09,0.15,0.89,1.38,0.89,0.08,2.76
Carlos Fernández,es ESP,FW,Real Sociedad,26-332,1996,4.5,0,0.09,0.04,-0.09,1.11,0.44,0.67,0,2.44
Aleix Garrido,es ESP,FW,Barcelona,19-056,2004,0.1,0,0,0,0,0,0,0,0,0
Sékou Gassama,sn SEN,FW,Valladolid,27-348,1995,0.4,0,0,0,0,2.5,0,0,0,0
Álvaro Giménez,es ESP,FW,Cádiz,31-335,1991,0.2,0,0,0,0,0,0,0,0,5
Maxi Gómez,uy URU,FW,Valencia,26-248,1996,1.2,0,0.17,0.17,-0.17,1.67,0,0,0,0
Sergi Guardiola,es ESP,FW,Valladolid,31-325,1991,5.6,0,0.02,0.04,-0.02,0.36,0.18,0.18,0.18,0.54
Sergi Guardiola,es ESP,FW,Cádiz,31-325,1991,6.9,0,0.07,0.03,-0.07,0.87,0.72,0.29,0,3.04
Javier Guerra,es ESP,FW,Valencia,20-108,2003,0.1,0,0,0,0,0,0,10,0,20
Gorka Guruzeta,es ESP,FW,Athletic Club,26-219,1996,10.7,0.09,0.04,0.06,0.06,0.56,1.21,0.37,0,1.78
Eden Hazard,be BEL,FW,Real Madrid,32-102,1991,1.5,0.67,0.33,0.27,0.33,4.67,3.33,1.33,0,2.67
Luiz Henrique,br BRA,FW,Betis,22-107,2001,17,0.12,0.14,0.1,-0.02,0.82,0.71,0.53,0.24,1.24
Borja Iglesias,es ESP,FW,Betis,30-092,1993,21.7,0.14,0.12,0.07,0.02,0.83,0.46,0.51,0,1.15
Alexander Isak,se SWE,FW,Real Sociedad,23-210,1999,1.7,0,0.06,0,-0.06,1.18,0,0.59,0,1.76
Nicolas Jackson,sn SEN,FW,Villarreal,21-303,2001,9.5,0.21,0.17,0.08,0.04,1.05,1.58,0.95,0,2.84
Adnan Januzaj,be BEL,FW,Sevilla,28-073,1995,0.5,0,0,0,0,0,0,0,0,2
Luis Javier Suárez,co COL,FW,Almería,25-138,1997,11.2,0.18,0.08,0.08,0.1,0.63,1.34,0.18,0.09,1.7
Willian José,br BRA,FW,Betis,31-147,1991,4.5,0,0.02,0.04,-0.02,0.67,0.89,0.67,0,2.44
Joselu,es ESP,FW,Espanyol,33-023,1990,25.2,0.08,0.09,0.07,-0.01,0.67,1.35,0.32,0.04,2.1
Juanmi,es ESP,FW,Betis,29-334,1993,8.6,0,0.1,0.1,-0.1,0.47,0.7,0.35,0,1.51
Vinicius Júnior,br BRA,FW,Real Madrid,22-281,2000,26.3,0.23,0.27,0.23,-0.05,2.05,0.99,1.48,0.08,2.74
Jon Karrikaburu,es ESP,FW,Real Sociedad,20-212,2002,1,0,0.3,0.1,-0.3,1,2,1,0,4
Kike,es ESP,FW,Osasuna,33-145,1989,9.7,0,0.09,0.07,-0.09,1.03,1.34,0.62,0,1.44
Cyle Larin,ca CAN,FW,Valladolid,28-002,1995,7.4,0.27,0.19,0.03,0.08,0.95,0.41,0.27,0,1.08
Sergio León,es ESP,FW,Valladolid,34-103,1989,13,0.08,0.08,0.04,-0.01,0.85,0.38,0.46,0.08,1.54
Robert Lewandowski,pl POL,FW,Barcelona,34-241,1988,22.6,0.27,0.17,0.13,0.09,1.06,1.46,0.97,0.09,3.05
Javier Llabrés,es ESP,FW,Mallorca,20-220,2002,0.2,0,0,0,0,0,0,0,0,0
Anthony Lozano,hn HON,FW,Cádiz,29-359,1993,13.4,0,0.04,0.06,-0.04,0.6,1.12,0.37,0.07,1.87
Darwin Machís,ve VEN,FW,Valladolid,30-071,1993,4.1,0.24,0.46,0.34,-0.22,1.71,0.73,1.95,1.95,1.46
Mariano,do DOM,FW,Real Madrid,29-261,1993,0.6,0,0.67,1,-0.67,1.67,1.67,0,0,1.67
Roger Martí,es ESP,FW,Elche,32-106,1991,7.3,0.14,0.1,0.05,0.04,1.37,0.96,0.41,0.27,0.96
Roger Martí,es ESP,FW,Cádiz,32-106,1991,6,0,0.05,0.02,-0.05,0.33,0.33,0.17,0,0.67
Borja Mayoral,es ESP,FW,Getafe,26-014,1997,26.5,0.08,0.09,0.1,-0.02,0.64,1.21,0.72,0.11,1.85
Memphis,nl NED,FW,Barcelona,29-065,1994,1.3,0,0.08,0.15,-0.08,2.31,2.31,1.54,0,5.38
Memphis,nl NED,FW,Atlético Madrid,29-065,1994,2.9,0,0.17,0.24,-0.17,1.72,1.38,1.03,0,2.76
Marko Milovanović,rs SRB,FW,Almería,19-258,2003,0.2,0,0,0,0,0,0,0,0,5
Rafa Mir,es ESP,FW,Sevilla,25-305,1997,9.2,0,0.09,0.09,-0.09,0.65,0.54,0,0,0.76
Álvaro Morata,es ESP,FW,Atlético Madrid,30-178,1992,16.8,0.12,0.07,0.05,0.05,0.77,0.36,0.24,0.06,0.95
Gerard Moreno,es ESP,FW,Villarreal,31-012,1992,11.9,0.17,0.17,0.09,0,1.34,2.18,1.26,0.08,4.29
Loren Morón,es ESP,FW,Betis,29-110,1993,0.2,0,0,0,0,0,0,0,0,0
Vedat Muriqi,xk KVX,FW,Mallorca,28-360,1994,24.9,0.08,0.06,0.06,0.02,0.68,1.24,0.16,0,1.89
Álvaro Negredo,es ESP,FW,Cádiz,37-242,1985,7,0.29,0.29,0.2,0,1.14,1.29,0.43,0.14,2
Randy Ntekja,fr FRA,FW,Elche,25-134,1997,3.1,0,0.06,0.06,-0.06,0.97,1.29,0.32,0,1.61
Moises Parra Gutierrez,es ESP,FW,Getafe,20-299,2002,0.1,0,0,0,0,0,0,0,0,0
Lucas Pérez,es ESP,FW,Cádiz,34-221,1988,7,0,0.09,0.14,-0.09,0.57,1.86,1,0.43,2
Manuel Pozo,es ESP,FW,Valladolid,21-128,2001,0.2,0,0,0,0,5,5,0,0,5
Raphinha,br BRA,FW,Barcelona,26-126,1996,16.8,0.24,0.36,0.39,-0.12,2.5,2.02,3.21,0.83,4.64
Rodrygo,br BRA,FW,Real Madrid,22-100,2001,20.3,0.34,0.33,0.26,0.02,1.92,2.36,0.89,0.1,3.15
Umar Sadiq,ng NGA,FW,Almería,26-076,1997,2.7,0,0.07,0.04,-0.07,1.11,0,0.37,0,0.74
Umar Sadiq,ng NGA,FW,Real Sociedad,26-076,1997,0.9,0,0,0,0,0,0,0,0,1.11
Esteban Saveljich,me MNE,FW,Rayo Vallecano,31-334,1991,0,0,0,0,0,0,0,0,0,0
Haris Seferović,ch SUI,FW,Celta Vigo,31-056,1992,5.8,0,0.03,0.07,-0.03,0.34,0.86,0.52,0,1.38
Dyego Sousa,pt POR,FW,Almería,33-217,1989,4.1,0.24,0.2,0.2,0.05,1.46,0,0.98,0,2.44
Jørgen Strand Larsen,no NOR,FW,Celta Vigo,23-072,2000,14.6,0.27,0.13,0.07,0.14,0.68,0.68,0.14,0,0.68
Cristhian Stuani,uy URU,FW,Girona,36-189,1986,8.5,0,0.11,0.07,-0.11,0.71,0.59,0.35,0,1.06
Alexander Sørloth,no NOR,FW,Real Sociedad,27-135,1995,19.8,0.05,0.08,0.05,-0.03,1.06,0.51,0.35,0.05,0.76
Raúl de Tomás,es ESP,FW,Rayo Vallecano,28-184,1994,3.6,0,0.08,0.19,-0.08,0.83,0,0.83,0,1.11
Ferrán Torres,es ESP,FW,Barcelona,23-049,2000,12.6,0.08,0.29,0.3,-0.21,1.75,0.79,1.9,0.79,2.94
Enes Ünal,tr TUR,FW,Getafe,25-344,1997,28,0.11,0.08,0.05,0.02,0.79,1.32,0.43,0.07,1.64
Asier Villalibre,es ESP,FW,Athletic Club,25-201,1997,1.1,0,0.18,0,-0.18,1.82,0.91,0.91,0,1.82
Shon Weissman,il ISR,FW,Valladolid,27-064,1996,8.3,0,0.02,0.05,-0.02,0.36,0.36,0,0,0.48
Iñaki Williams,gh GHA,FW,Athletic Club,28-308,1994,23.6,0.08,0.15,0.12,-0.06,1.23,0.85,0.68,0.17,1.91
Nico Williams,es ESP,FW,Athletic Club,20-281,2002,23.6,0.17,0.22,0.14,-0.06,1.69,0.89,1.31,0.38,2.71
Marco Asensio,es ESP,"FW,MF",Real Madrid,27-088,1996,10.8,0.37,0.33,0.25,0.04,2.78,3.61,1.76,0.37,4.72
