Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Matthis Abline,fr FRA,FW,Auxerre,20-022,2003,7.7,0.52,0.26,0,0.39,0.13,0.13,0.65,0.13,0
Mohamed Achi,fr FRA,FW,Nantes,21-093,2002,0.4,2.5,2.5,2.5,0,0,0,2.5,0,0
Amar Ahmed,se SWE,FW,Troyes,19-059,2004,0.2,5,5,0,5,0,5,10,0,0
Ludovic Ajorque,fr FRA,FW,Strasbourg,29-053,1994,8.6,0.58,0.47,0.12,0.47,0,0.23,0.81,0.81,0
Komnen Andrić,rs SRB,FW,Clermont Foot,27-292,1995,15.3,0.85,0.33,0.13,0.46,0.26,0.52,1.37,0.72,0
Taïryk Arconte,fr FRA,FW,Brest,19-158,2003,1.4,0.71,0.71,0,0,0.71,0,0.71,1.43,0
Folarin Balogun,eng ENG,FW,Reims,21-290,2001,26.4,0.23,0.11,0,0.15,0.08,0.08,0.3,0.45,0
Jonathan Bamba,fr FRA,FW,Lille,27-024,1996,24.2,1.2,0.58,0.45,0.41,0.33,0.7,1.9,0.45,0
Wissam Ben Yedder,fr FRA,FW,Monaco,32-250,1990,19.2,0.68,0.42,0.1,0.21,0.36,0.21,0.89,0,0
El Bilal Touré,ml MLI,FW,Reims,21-198,2001,1,0,0,0,0,0,0,0,1,0
Myron Boadu,nl NED,FW,Monaco,22-095,2001,1.5,0.67,0.67,0,0,0.67,0,0.67,0.67,0
Alexis Claude-Maurice,fr FRA,FW,Nice,24-317,1998,0.7,4.29,2.86,2.86,1.43,0,2.86,7.14,1.43,0
Thijs Dallinga,nl NED,FW,Toulouse,22-259,2000,21.1,0.38,0.28,0.09,0.09,0.19,0.09,0.47,0.76,0
Jonathan David,ca CAN,FW,Lille,23-095,2000,28.4,0.63,0.46,0.14,0.32,0.18,0.25,0.88,0.46,0
Andy Delort,dz ALG,FW,Nice,31-192,1991,8.7,0.23,0,0.11,0.11,0,0.11,0.34,0.8,0
Andy Delort,dz ALG,FW,Nantes,31-192,1991,4,0.5,0.25,0.25,0.25,0,0,0.5,0.5,0
Habib Diallo,sn SEN,FW,Strasbourg,27-305,1995,25.1,0.56,0.28,0.2,0.24,0.12,0.44,1,0.52,0
Bamba Dieng,sn SEN,FW,Lorient,23-027,2000,7.4,2.43,1.35,0.68,1.62,0.14,0.27,2.7,0.81,0
Lois Diony,fr FRA,FW,Angers,30-120,1992,4.9,0.2,0,0,0.2,0,0,0.2,0.2,0
Moussa Djitte,sn SEN,FW,Ajaccio,23-197,1999,1.5,0.67,0,0,0,0.67,0,0.67,0.67,0
Alan Do Marcolino,ga GAB,FW,Rennes,21-031,2002,0.2,0,0,0,0,0,0,0,5,0
