Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Yunis Abdelhamid,ma MAR,DF,Reims,35-203,1987,31,0.03,0.01,0.02,0.02,0.32,3.68,0.1,0,5.58
Himad Abdelli,fr FRA,"MF,FW",Angers,23-153,1999,16.8,0,0.12,0.1,-0.12,1.49,4.4,1.13,0.24,5.89
Salis Abdul Samed,gh GHA,MF,Lens,23-024,2000,28.2,0.04,0.05,0.07,-0.02,0.57,5.35,0.57,0.11,5.14
Laurent Abergel,fr FRA,MF,Lorient,30-077,1993,19.1,0.05,0.06,0.04,-0.01,0.52,4.45,0.37,0,4.97
Matthis Abline,fr FRA,FW,Auxerre,20-022,2003,7.7,0.13,0.09,0.03,0.04,0.52,0.78,0.39,0.13,0.91
Matthis Abline,fr FRA,"FW,MF",Rennes,20-022,2003,1.2,0,0.25,0.17,-0.25,1.67,0.83,0.83,0,1.67
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-060,2000,23.8,0.21,0.12,0.1,0.09,0.67,0.97,0.63,0.04,2.52
Mohamed Achi,fr FRA,FW,Nantes,21-093,2002,0.4,0,0,0,0,2.5,2.5,0,0,7.5
Martin Adeline,fr FRA,"MF,FW",Reims,19-138,2003,1.2,0,0,0,0,0,1.67,0,0,2.5
Emmanuel Agbadou,ci CIV,DF,Reims,25-306,1997,21.9,0.09,0.07,0.05,0.02,0.37,3.56,0.46,0.05,4.02
Lucien Agoume,fr FRA,MF,Troyes,21-069,2002,9.4,0.11,0.11,0.1,0,0.96,4.68,1.38,0.21,7.87
Ruben Aguilar,fr FRA,DF,Monaco,29-358,1993,10.1,0,0.09,0.11,-0.09,0.2,5.05,0.99,0.5,7.62
Amar Ahmed,se SWE,FW,Troyes,19-059,2004,0.2,0,0,0,0,0,0,0,0,5
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,29-030,1994,13.5,0.07,0.07,0.09,0.01,0.67,3.56,0.67,0.07,3.19
