Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Che Adams,sct SCO,FW,Southampton,26-280,1996,20.8,0.82,0.63,0.34,0.38,0.1,0.19,1.01,0.91,0
Miguel Almirón,py PAR,FW,Newcastle Utd,29-068,1994,22.4,1.7,1.16,0.54,0.76,0.4,0.31,2.01,0.54,0
Michail Antonio,jm JAM,FW,West Ham,33-022,1990,15.5,0.84,0.45,0.06,0.45,0.32,0.32,1.16,0.32,0
Antony,br BRA,FW,Manchester Utd,23-054,2000,15.2,1.32,0.53,0.59,0.53,0.2,0.53,1.84,0.26,0
Adam Armstrong,eng ENG,FW,Southampton,26-068,1997,12.3,0.89,0.57,0.24,0.41,0.24,0.33,1.22,0.41,0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-305,1989,5.2,0.19,0,0.19,0,0,0.38,0.58,0.77,0.38
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-250,1997,9.6,1.15,0.94,0.1,0.73,0.31,0.1,1.25,1.15,0
Patrick Bamford,eng ENG,FW,Leeds United,29-226,1993,12.5,0.72,0.48,0,0.48,0.24,0.4,1.12,0.72,0
Armando Broja,al ALB,FW,Chelsea,21-221,2001,3.3,1.21,0.3,0,0.91,0.3,0.3,1.52,0.3,0
Dominic Calvert-Lewin,eng ENG,FW,Everton,26-034,1997,8.1,0.37,0.12,0.12,0,0.25,0.12,0.49,0.62,0
Thomas Cannon,ie IRL,FW,Everton,20-112,2002,0.3,0,0,0,0,0,0,0,0,0
Maxwel Cornet,ci CIV,FW,West Ham,26-204,1996,1.4,3.57,1.43,2.14,0,1.43,0,3.57,0,0
Diego Costa,es ESP,FW,Wolves,34-194,1988,9.7,0.21,0,0.21,0,0,0.21,0.41,1.34,0
Matheus Cunha,br BRA,FW,Wolves,23-327,1999,7.5,0.53,0.13,0,0.4,0.13,0.8,1.33,0.93,0
Patson Daka,zm ZAM,FW,Leicester City,24-192,1998,10.8,0.83,0.46,0.28,0.56,0,0.37,1.2,0.56,0
Luis Díaz,co COL,FW,Liverpool,26-096,1997,6.9,1.59,1.16,0.29,1.16,0.14,0.29,1.88,0,0
Ben Doak,sct SCO,FW,Liverpool,17-159,2005,0.3,10,6.67,3.33,6.67,0,0,10,0,0
Jhon Durán,co COL,FW,Aston Villa,19-127,2003,0.9,0,0,0,0,0,1.11,1.11,1.11,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,25-093,1998,16.8,1.43,0.77,0.42,0.71,0.3,0.18,1.61,1.31,0
Anthony Elanga,se SWE,FW,Manchester Utd,20-357,2002,4.7,0.64,0,0,0.43,0.21,0.43,1.06,0.85,0
Evan Ferguson,ie IRL,FW,Brighton,18-182,2004,6.7,0.9,0.45,0.15,0.45,0.3,0.15,1.04,0.6,0
Phil Foden,eng ENG,FW,Manchester City,22-326,2000,15.6,0.9,0.51,0.51,0.26,0.13,0.32,1.22,0.51,0
