Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Che Adams,sct SCO,FW,Southampton,26-280,1996,20.8,0.14,0.13,0.11,0.01,1.15,0.96,0.48,0.1,1.44
Miguel Almirón,py PAR,FW,Newcastle Utd,29-068,1994,22.4,0.04,0.07,0.1,-0.03,0.8,1.65,1.12,0.09,4.78
Michail Antonio,jm JAM,FW,West Ham,33-022,1990,15.5,0.13,0.07,0.05,0.06,0.77,0.71,0.39,0.13,1.35
Antony,br BRA,FW,Manchester Utd,23-054,2000,15.2,0.07,0.11,0.11,-0.05,1.05,1.38,1.58,0.07,3.55
Adam Armstrong,eng ENG,FW,Southampton,26-068,1997,12.3,0.08,0.06,0.06,0.02,0.81,0.98,0.73,0.16,1.22
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-305,1989,5.2,0,0.08,0.04,-0.08,0.77,0.38,0.38,0.19,0.58
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-250,1997,9.6,0,0.1,0.03,-0.1,0.83,0.31,0.1,0,0.73
Patrick Bamford,eng ENG,FW,Leeds United,29-226,1993,12.5,0.16,0.07,0.05,0.09,0.8,1.2,0.64,0,1.52
Armando Broja,al ALB,FW,Chelsea,21-221,2001,3.3,0,0.03,0.03,-0.03,0.3,0.3,0.3,0,1.21
Dominic Calvert-Lewin,eng ENG,FW,Everton,26-034,1997,8.1,0,0.04,0.02,-0.04,0.49,0.99,0.12,0,0.99
Thomas Cannon,ie IRL,FW,Everton,20-112,2002,0.3,0,1.67,0,-1.67,3.33,0,0,0,0
Maxwel Cornet,ci CIV,FW,West Ham,26-204,1996,1.4,0,0.07,0.07,-0.07,0.71,1.43,0.71,0.71,2.86
Diego Costa,es ESP,FW,Wolves,34-194,1988,9.7,0,0.05,0.05,-0.05,0.82,0.62,0.21,0,0.82
Matheus Cunha,br BRA,FW,Wolves,23-327,1999,7.5,0,0.05,0.01,-0.05,0.67,0.53,0.27,0,1.6
Patson Daka,zm ZAM,FW,Leicester City,24-192,1998,10.8,0.28,0.23,0.12,0.05,1.2,0.65,0.74,0.09,1.48
Luis Díaz,co COL,FW,Liverpool,26-096,1997,6.9,0.29,0.16,0.13,0.13,1.01,2.61,0.87,0.14,3.91
Ben Doak,sct SCO,FW,Liverpool,17-159,2005,0.3,0,0,0,0,0,0,0,0,3.33
Jhon Durán,co COL,FW,Aston Villa,19-127,2003,0.9,0,0,0,0,0,0,1.11,0,3.33
Odsonne Édouard,fr FRA,FW,Crystal Palace,25-093,1998,16.8,0.12,0.07,0.04,0.05,0.89,0.48,0.54,0,1.9
Anthony Elanga,se SWE,FW,Manchester Utd,20-357,2002,4.7,0.21,0.19,0.21,0.02,1.28,0.64,0.64,0,1.7
Evan Ferguson,ie IRL,FW,Brighton,18-182,2004,6.7,0.3,0.06,0.06,0.24,0.75,0.3,0.75,0,1.19
Phil Foden,eng ENG,FW,Manchester City,22-326,2000,15.6,0.32,0.19,0.22,0.13,2.12,1.79,1.67,0.51,3.97
Datro Fofana,ci CIV,FW,Chelsea,20-118,2002,0.7,0,0.14,0.14,-0.14,2.86,0,1.43,0,1.43
Tyrese Francois,au AUS,FW,Fulham,22-277,2000,0,0,0,0,0,0,1,0,0,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,29-054,1994,3.5,0,0.11,0.09,-0.11,1.43,1.14,1.14,0.29,2.57
Cody Gakpo,nl NED,FW,Liverpool,23-347,1999,10.2,0.1,0.12,0.06,-0.02,1.27,1.67,0.59,0.1,2.45
Joe Gelhardt,eng ENG,FW,Leeds United,20-350,2002,2.4,0.83,0.21,0.17,0.63,0.83,1.25,0.42,0,2.5
Anthony Gordon,eng ENG,FW,Everton,22-054,2001,12.2,0,0.05,0.04,-0.05,0.66,0.66,0.9,0.16,1.56
Darko Gyabi,eng ENG,FW,Leeds United,19-060,2004,0.1,0,0,0,0,0,0,0,0,20
Erling Haaland,no NOR,FW,Manchester City,22-272,2000,24.7,0.2,0.16,0.11,0.04,0.81,0.45,0.69,0,1.7
Omari Hutchinson,eng ENG,FW,Chelsea,19-171,2003,0.3,0,0,0,0,0,0,0,0,0
Danny Ings,eng ENG,FW,West Ham,30-270,1992,5.4,0,0.04,0.04,-0.04,0.37,1.11,0,0,1.11
