Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Tammy Abraham,eng ENG,FW,Roma,25-199,1997,20.3,3,2.9,1.9,+0.1,27,13,11,1,40
Felipe Anderson,br BRA,FW,Lazio,30-004,1993,26.4,2,4.3,3.6,-2.3,39,47,34,4,94
Janis Antiste,fr FRA,FW,Sassuolo,20-244,2002,0.6,0,0,0,0,0,0,0,0,1
Marko Arnautović,at AUT,FW,Bologna,34-000,1989,13.7,0,1.7,1.4,-1.7,19,13,12,1,28
Arthur,br BRA,FW,Fiorentina,24-359,1998,13.2,1,0.7,0.9,+0.3,13,3,6,0,18
Nedim Bajrami,al ALB,FW,Sassuolo,24-050,1999,4.6,0,0.8,0.9,-0.8,6,8,2,0,19
Andrea Belotti,it ITA,FW,Roma,29-120,1993,8,1,1.4,0.4,-0.4,11,5,4,0,8
Domenico Berardi,it ITA,FW,Sassuolo,28-261,1994,14.6,6,3.9,3.6,+2.1,26,24,34,4,81
Beto,gw GNB,FW,Udinese,25-078,1998,21,1,2,1.5,-1,20,7,4,0,12
Matteo Cancellieri,it ITA,FW,Lazio,21-066,2002,2.7,0,0.4,0.3,-0.4,3,1,1,1,2
Francesco Caputo,it ITA,FW,Sampdoria,35-256,1987,12.2,0,0.5,0.6,-0.5,9,11,4,0,11
Francesco Caputo,it ITA,FW,Empoli,35-256,1987,13.3,4,1.4,1,+2.6,15,8,2,0,14
Assan Ceesay,gm GAM,FW,Lecce,29-033,1994,15,0,0.7,0.6,-0.7,6,8,4,0,16
Emil Ceide,no NOR,FW,Sassuolo,21-228,2001,3.8,0,0.7,0.5,-0.7,6,4,8,1,13
Daniel Ciofani,it ITA,FW,Cremonese,37-262,1985,7.9,0,0.5,0.7,-0.5,7,8,3,0,6
Lorenzo Colombo,it ITA,FW,Lecce,21-042,2002,14.2,2,1.4,0.4,+0.6,16,14,6,2,19
Joaquín Correa,ar ARG,FW,Inter,28-249,1994,7.2,1,1,0.6,0,10,13,6,0,17
Luca D'Andrea,it ITA,FW,Sassuolo,18-225,2004,3.5,1,0.8,0.4,+0.2,10,6,3,2,9
